# 'Exact' binding curve of H2 as of Kolos-Wolniewicz (DOI: 10.1103/revmodphys.32.219)
R, bohr	E_bind, Ha
0.60	0.232183
0.80	-0.020175379
0.90	-0.083645138
1.00	-0.124510386
1.10	-0.150032792
1.20	-0.164919944
1.30	-0.172313908
1.35	-0.173923528
1.39	-0.174408619
1.40	-0.174430669
1.41	-0.174415969
1.45	-0.174011727
1.50	-0.172817374
1.60	-0.168528727
1.80	-0.154975576
2.00	-0.137990039
2.20	-0.119913046
2.40	-0.102078599
2.60	-0.085284157
2.80	-0.069952339
3.00	-0.056292615
3.20	-0.044393184
3.60	-0.025662053
3.80	-0.018503285
4.00	-0.012652792
4.20	-0.00786803
